Model,Accuracy,Precision,Recall,F1,AUC-PR,Training Time (s)
XGBoost,0.9035682689472132,0.6284658040665434,0.4287515762925599,0.5097451274362819,0.602961901442909,0.4206396999943536
MLP,0.904452963727514,0.6418786692759295,0.4136191677175284,0.5030674846625767,0.5930223983206228,26.980801099998644
