trial,activation,hidden_layer_sizes,learning_rate_init,max_iter,n_iter_,final_loss,train_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc_pr,depth,width
14,relu,"(256, 128, 64)",0.001,400,20,0.12212110297722834,28.395849000000453,0.9082866411088174,0.6692913385826772,0.4282115869017632,0.522273425499232,0.6206931955198429,3,256
12,tanh,"(128, 64)",0.01,400,21,0.16151128055985853,8.520420900000317,0.907844293718667,0.6365105008077544,0.49622166246851385,0.5576786978060864,0.6204889856699316,2,128
18,tanh,"(128, 64)",0.01,200,21,0.16151128055985853,8.353879599999345,0.907844293718667,0.6365105008077544,0.49622166246851385,0.5576786978060864,0.6204889856699316,2,128
5,relu,"(256, 128, 64)",0.01,400,20,0.14098118235221477,25.6638180000009,0.9057800058979653,0.6432532347504621,0.43828715365239296,0.5213483146067416,0.6176740770408966,3,256
13,tanh,"(256, 128, 64)",0.001,200,20,0.1597224044889104,34.0923335999978,0.9084340902388676,0.6712871287128713,0.4269521410579345,0.5219399538106235,0.6173945276691972,3,256
7,relu,"(128, 64)",0.01,400,18,0.15237978812419883,5.819886999997834,0.9056325567679151,0.6032171581769437,0.5667506297229219,0.5844155844155844,0.6157656719194521,2,128
15,tanh,"(64,)",0.01,200,25,0.158574177903576,3.891029599995818,0.9087289884989679,0.6559714795008913,0.4634760705289673,0.5431734317343173,0.6154946349367454,1,64
4,relu,"(64,)",0.001,400,31,0.18350214656578104,3.804880099996808,0.9081391919787674,0.6413223140495867,0.48866498740554154,0.5546819156540386,0.6135032239514364,1,64
1,relu,"(64,)",0.01,200,23,0.1670163861130303,3.4301123000041116,0.9090238867590681,0.6617915904936015,0.45591939546599497,0.5398956002982849,0.6132409723484423,1,64
6,tanh,"(128, 64)",0.001,200,25,0.17864449697015353,10.05342450000171,0.906664700678266,0.6259780907668232,0.5037783375314862,0.5582693649685974,0.6108141415453531,2,128
17,tanh,"(64,)",0.001,200,25,0.19983077125907692,3.66490789999807,0.9076968445886169,0.6527272727272727,0.4521410579345088,0.5342261904761905,0.5915667503390747,1,64
2,tanh,"(64,)",0.1,400,24,0.22778773383242204,3.4527530999985174,0.8992922441757594,0.5899513776337115,0.45843828715365237,0.515946137491141,0.5709740706789641,1,64
10,tanh,"(64,)",0.1,200,24,0.22778773383242204,3.356829700001981,0.8992922441757594,0.5899513776337115,0.45843828715365237,0.515946137491141,0.5709740706789641,1,64
3,relu,"(64,)",0.1,200,36,0.2111926668748446,4.397060299997975,0.9012090828664111,0.585635359116022,0.5340050377833753,0.5586297760210803,0.5388443287844348,1,64
16,relu,"(64,)",0.1,400,36,0.2111926668748446,4.237218000002031,0.9012090828664111,0.585635359116022,0.5340050377833753,0.5586297760210803,0.5388443287844348,1,64
11,relu,"(256, 128, 64)",0.1,400,45,0.21021427615445576,52.249467800000275,0.8979652020053082,0.5784615384615385,0.473551637279597,0.5207756232686981,0.5061322105747625,3,256
9,tanh,"(128, 64)",0.1,200,25,0.2853499008635865,9.457665800000541,0.8961958124447066,0.5677710843373494,0.4748110831234257,0.5171467764060357,0.499668458240794,2,128
8,tanh,"(128, 64)",0.1,400,25,0.2853499008635865,9.348834299998998,0.8961958124447066,0.5677710843373494,0.4748110831234257,0.5171467764060357,0.499668458240794,2,128
