Model,Split,accuracy,precision,recall,f1,auc_pr
XGBoost,Validation,0.9104983780595695,0.6801541425818882,0.4445843828715365,0.5376999238385377,0.651974083964655
XGBoost,Test,0.9035682689472132,0.6284658040665434,0.4287515762925599,0.5097451274362819,0.602961901442909
MLP,Validation,0.9127101150103214,0.6661184210526315,0.5100755667506297,0.5777460770328102,0.6331247387004266
MLP,Test,0.9040106163373636,0.60790273556231,0.5044136191677175,0.5513439007580979,0.6020349863552689
